symbol,provider_symbol,asset_class,region,provider
asx/CLX,CLX.AX,stock,AU,yahoo
asx/CLZ,CLZ.AX,stock,AU,yahoo
asx/CMA,CMA.AX,stock,AU,yahoo
asx/CMB,CMB.AX,stock,AU,yahoo
asx/CMD,CMD.AX,stock,AU,yahoo
asx/CMG,CMG.AX,stock,AU,yahoo
asx/CML,CML.AX,stock,AU,yahoo
asx/CMM,CMM.AX,stock,AU,yahoo
asx/CMO,CMO.AX,stock,AU,yahoo
asx/CMP,CMP.AX,stock,AU,yahoo
asx/CMW,CMW.AX,stock,AU,yahoo
asx/CMX,CMX.AX,stock,AU,yahoo
asx/CNB,CNB.AX,stock,AU,yahoo
asx/CND,CND.AX,stock,AU,yahoo
asx/CNI,CNI.AX,stock,AU,yahoo
asx/CNJ,CNJ.AX,stock,AU,yahoo
asx/CNQ,CNQ.AX,stock,AU,yahoo
asx/CNU,CNU.AX,stock,AU,yahoo
asx/COB,COB.AX,stock,AU,yahoo
asx/COD,COD.AX,stock,AU,yahoo
asx/COF,COF.AX,stock,AU,yahoo
asx/COG,COG.AX,stock,AU,yahoo
asx/COH,COH.AX,stock,AU,yahoo
asx/COI,COI.AX,stock,AU,yahoo
asx/COL,COL.AX,stock,AU,yahoo
asx/COS,COS.AX,stock,AU,yahoo
asx/COV,COV.AX,stock,AU,yahoo
asx/COY,COY.AX,stock,AU,yahoo
asx/CP8,CP8.AX,stock,AU,yahoo
asx/CPM,CPM.AX,stock,AU,yahoo
asx/CPN,CPN.AX,stock,AU,yahoo
asx/CPO,CPO.AX,stock,AU,yahoo
asx/CPU,CPU.AX,stock,AU,yahoo
asx/CPV,CPV.AX,stock,AU,yahoo
asx/CQE,CQE.AX,stock,AU,yahoo
asx/CQR,CQR.AX,stock,AU,yahoo
asx/CQT,CQT.AX,stock,AU,yahoo
asx/CR1,CR1.AX,stock,AU,yahoo
asx/CR3,CR3.AX,stock,AU,yahoo
asx/CR3O,CR3O.AX,stock,AU,yahoo
asx/CR9,CR9.AX,stock,AU,yahoo
